,County,Violent_sum,Property_sum
0,Alameda,10127,59744
1,Alpine,6,34
2,Amador,92,669
3,Butte,790,7307
4,Calaveras,178,656
5,Colusa,46,357
6,Contra Costa,3895,28939
7,Del Norte,168,608
8,El Dorado,389,3042
9,Fresno,5981,31784
10,Glenn,103,559
11,Humboldt,682,4001
12,Imperial,676,5195
13,Inyo,114,334
14,Kern,5128,32570
15,Kings,639,3167
16,Lake,379,1746
17,Lassen,225,513
18,Los Angeles,56351,252224
19,Madera,1024,3705
20,Marin,475,4975
21,Mariposa,80,241
22,Mendocino,606,1444
23,Merced,1488,7658
24,Modoc,41,163
25,Mono,37,162
26,Monterey,1822,10396
27,Napa,598,2524
28,Nevada,212,1806
29,Orange,7275,66054
30,Placer,622,7080
31,Plumas,120,359
32,Riverside,7447,65333
33,Sacramento,7734,39105
34,San Benito,155,543
35,San Bernardino,10469,54937
36,San Diego,10959,61356
37,San Francisco,6269,48437
38,San Joaquin,6005,22629
39,San Luis Obispo,1115,6687
40,San Mateo,1634,14893
41,Santa Barbara,1527,9779
42,Santa Clara,5423,42797
43,Santa Cruz,1101,9485
44,Shasta,1333,5561
45,Sierra,14,26
46,Siskiyou,161,876
47,Solano,2022,11719
48,Sonoma,1868,7794
49,Stanislaus,3366,17918
50,Sutter,360,2691
51,Tehama,360,1937
52,Trinity,66,299
53,Tulare,1608,11563
54,Tuolumne,187,1272
55,Ventura,2192,16415
56,Yolo,639,5368
57,Yuba,318,1944
